Level,Defense mechanism,#,Film,Year,Director,Character,Actor,IMDb,Quote,Region
Mature,Altruism,12,Pay It Forward,2000,Mimi Leder,Trevor McKinney,Haley Joel Osment,tt0223897,"""It has to be something really big, something they can't do by themselves. So I do it for them, then they do it for three other people."" — Trevor",
Mature,Altruism,13,Three Colours: Blue / Trois couleurs: Bleu,1993,Krzysztof Kieślowski,Julie Vignon,Juliette Binoche,tt0108394,"""Now I have only one thing left to do: nothing. I don't want any belongings, any memories. No friends, no love. Those are all traps."" — Julie (early in the film, against which her later turn to altruism defines itself)",
Mature,Altruism,14,Wit,2001,Mike Nichols,"Susie Monahan, RN (Audra McDonald); Vivian Bearing",Emma Thompson,tt0243664,"""She's no-code. She's no-code!"" — Susie Monahan, fighting off the resuscitation team",
Mature,Altruism,K2,Silenced / 도가니,2011,Hwang Dong-hyuk,Kang In-ho / 강인호,Gong Yoo / 공유,tt2070649,"""우리가 싸우는 건 세상을 바꾸기 위해서가 아니라, 세상이 우리를 바꾸지 못하게 하려는 겁니다."" / ""We fight not to change the world, but so the world doesn't change us."" — Seo Yoo-jin (activist co-protagonist) to In-ho",Korean
Mature,Humor,1,Life Is Beautiful / La vita è bella,1997,Roberto Benigni,Guido Orefice,Roberto Benigni,tt0118799,"""You can lose all your points for any one of three things. One: If you cry. Two: If you ask to see your mother. Three: If you're hungry and ask for a snack! Forget it!"" — Guido (translating the guard's rules)",
Mature,Humor,2,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,Stanley Kubrick,President Merkin Muffley (Peter Sellers); Group Captain Mandrake (Sellers); Dr. Strangelove,Sellers,tt0057012,"""Gentlemen, you can't fight in here! This is the War Room!"" — President Muffley",
Mature,Humor,3,M*A*S*H,1970,Robert Altman,Capt. Hawkeye Pierce (Donald Sutherland); Capt. Trapper John,Elliott Gould,tt0066026,"""Suicide is painless. It brings on many changes."" — film's theme, sung at Painless's ""Last Supper""",
Mature,Humor,4,The Great Dictator,1940,Charles Chaplin,The Jewish Barber / Adenoid Hynkel,Charles Chaplin,tt0032553,"""We think too much and feel too little. More than machinery we need humanity… Look up, Hannah!"" — The Jewish Barber",
Mature,Humor,5,To Be or Not to Be,1942,Ernst Lubitsch,Joseph Tura (Jack Benny); Maria Tura,Carole Lombard,tt0035446,"""So they call me 'Concentration Camp' Ehrhardt!"" — Col. Ehrhardt (Sig Ruman) / repeated as a joke by Tura impersonating him",
Mature,Humor,6,Annie Hall,1977,Woody Allen,Alvy Singer,Woody Allen,tt0075686,"""There's an old joke. Two elderly women are at a Catskill mountain resort, and one of 'em says, 'Boy, the food at this place is really terrible.' The other one says, 'Yeah, I know — and such small portions.' Well, that's essentially how I feel about life."" — Alvy Singer",
Mature,Humor,7,Jojo Rabbit,2019,Taika Waititi,Rosie Betzler (Scarlett Johansson); Jojo,Roman Griffin Davis,tt2584384,"""Dance is for people who are free. It's an escape from all this."" — Rosie Betzler",
Mature,Humor,8,Patch Adams,1998,Tom Shadyac,"Hunter ""Patch"" Adams",Robin Williams,tt0129290,"""You treat a disease, you win, you lose. You treat a person, I guarantee you, you'll win, no matter what the outcome."" — Patch Adams",
Mature,Humor,9,Harold and Maude,1971,Hal Ashby,Maude (Ruth Gordon); Harold,Bud Cort,tt0067185,"""A lot of people enjoy being dead. But they are not dead, really. They're just backing away from life. Reach out. Take a chance. Get hurt even."" — Maude",
Mature,Humor,10,Little Miss Sunshine,2006,Jonathan Dayton & Valerie Faris,,,tt0449059,"""I'm the preeminent Proust scholar in the United States."" — Frank Ginsberg",
Mature,Humor,11,Train of Life / Train de vie,1998,Radu Mihăileanu,Schlomo / Mordechai,Lionel Abelanski / Rufus,tt0151968,"""We will deport ourselves."" — Mordechai (paraphrase of the village council's plan)",
Mature,Humor,12,The Death of Stalin,2017,Armando Iannucci,Lavrentiy Beria (Simon Russell Beale); Khrushchev (Steve Buscemi); Molotov,Michael Palin,tt4686844,"""How can you run, plot, and shoot at the same time?"" — Khrushchev",
Mature,Humor,13,Four Weddings and a Funeral,1994,Mike Newell,Charles (Hugh Grant); Matthew (John Hannah); Gareth,Simon Callow,tt0109831,"""He was my North, my South, my East and West. My working week and my Sunday rest."" — Matthew (W.H. Auden's ""Funeral Blues"")",
Mature,Humor,14,The Sunshine Boys,1975,Herbert Ross,Willy Clark (Walter Matthau); Al Lewis,George Burns,tt0073793,"""Words with a 'k' in it are funny. Alka-Seltzer is funny. Chicken is funny. Pickle is funny. All with a 'k'. 'L's are not funny. 'M's are not funny."" — Willy Clark",
Mature,Humor,K1,Extreme Job / 극한직업,2019,Lee Byeong-heon,,,tt9541602,"""이것은 갈비인가, 통닭인가."" / ""Is this galbi, or is it fried chicken?"" — Detective Ma (마형사)",Korean
Mature,Humor,K2,Memories of Murder / 살인의 추억,2003,Bong Joon-ho,Detective Park Doo-man / 박두만,Song Kang-ho / 송강호,tt0353969,"""밥은 먹고 다니냐?"" / ""Do you eat meals — out there?"" — Park Doo-man, to the suspect (Park Hae-il)",Korean
Mature,Humor,K3,Sympathy for Lady Vengeance / 친절한 금자씨,2005,Park Chan-wook,Lee Geum-ja / 이금자,Lee Young-ae / 이영애,tt0451094,"""너나 잘하세요."" / ""Mind your own business."" (lit. ""Look after yourself."") — Geum-ja",Korean
Mature,Self-Assertion,1,Norma Rae,1979,Martin Ritt,Norma Rae Webster,Sally Field,tt0079638,"""I'm staying right where I am. It's gonna take you, and the police department, and the fire department, and the National Guard to get me out of here!"" — Norma Rae",
Mature,Self-Assertion,2,12 Angry Men,1957,Sidney Lumet,Juror #8,Henry Fonda,tt0050083,"""It's not so easy for me to raise my hand and send a boy off to die without talking about it first."" — Juror #8",
Mature,Self-Assertion,3,Erin Brockovich,2000,Steven Soderbergh,Erin Brockovich,Julia Roberts,tt0195685,"""They're called boobs, Ed."" — Erin Brockovich",
Mature,Self-Assertion,6,North Country,2005,Niki Caro,Josey Aimes,Charlize Theron,tt0395972,"""All you have to do is tell the truth."" — Bill White (to Josey, articulating the defense she chooses)",
Mature,Self-Assertion,7,Whale Rider,2002,Niki Caro,Paikea / Pai,Keisha Castle-Hughes,tt0298228,"""My name is Paikea Apirana, and I come from a long line of chiefs stretching all the way back to the Whale Rider."" — Pai",
Mature,Self-Assertion,10,A Few Good Men,1992,Rob Reiner,Lt. Daniel Kaffee,Tom Cruise,tt0104257,"""I want the truth!"" — Kaffee",
Mature,Self-Assertion,11,Stand and Deliver,1988,Ramón Menéndez,,,tt0094027,"""All you need is ganas. Desire."" — Jaime Escalante",
Mature,Self-Assertion,12,The Insider,1999,Michael Mann,Jeffrey Wigand,Russell Crowe,tt0140352,"""I think that we — and I am being very specific in answering you — manipulate, we control nicotine delivery."" — Jeffrey Wigand",
Mature,Self-Assertion,14,The Help,2011,Tate Taylor,Minny Jackson,Octavia Spencer,tt1454029,"""Eat my shit."" — Minny Jackson (direct line in confrontation with Hilly, paraphrase of ""Eat my shit"" cake-reveal scene)",
Mature,Self-Observation,1,Ordinary People,1980,Robert Redford,Conrad Jarrett (Timothy Hutton); Dr. Berger,Judd Hirsch,tt0081283,"""Feelings are scary. Sometimes they're painful. And if you can't feel pain, you're not gonna feel anything else either."" — Dr. Berger",
Mature,Self-Observation,2,Good Will Hunting,1997,Gus Van Sant,Will Hunting (Matt Damon); Sean Maguire,Robin Williams,tt0119217,"""It's not your fault."" — Sean Maguire (catalysing Will's self-observation)",
Mature,Self-Observation,3,Wild Strawberries / Smultronstället,1957,Ingmar Bergman,Prof. Isak Borg,Victor Sjöström,tt0050986,"""A doctor's first duty is to ask forgiveness."" — examiner in Isak's dream (the indictment he is finally able to recognise as his own diagnosis)",
Mature,Self-Observation,4,Lost in Translation,2003,Sofia Coppola,Bob Harris (Bill Murray); Charlotte,Scarlett Johansson,tt0335266,"""I just don't know what I'm supposed to be."" — Charlotte",
Mature,Self-Observation,5,Lady Bird,2017,Greta Gerwig,"Christine ""Lady Bird"" McPherson",Saoirse Ronan,tt4925292,"""Don't you think maybe they are the same thing? Love and attention?"" — Sister Sarah Joan",
Mature,Self-Observation,6,Wild,2014,Jean-Marc Vallée,Cheryl Strayed,Reese Witherspoon,tt2305051,"""What if I forgive myself? What if I was sorry, but if I could go back in time I wouldn't do a single thing differently?"" — Cheryl Strayed",
Mature,Self-Observation,7,The Diving Bell and the Butterfly / Le scaphandre et le papillon,2007,Julian Schnabel,Jean-Dominique Bauby,Mathieu Amalric,tt0401383,"""I decided to stop pitying myself. Other than my eye, two things aren't paralyzed: my imagination and my memory."" — Jean-Dominique Bauby",
Mature,Self-Observation,8,Adaptation.,2002,Spike Jonze,Charlie Kaufman,Nicolas Cage,tt0268126,"""I'm fat. I'm bald. I'm repulsive… I should just go upstairs and write."" — Charlie Kaufman",
Mature,Self-Observation,9,"Synecdoche, New York",2008,Charlie Kaufman,Caden Cotard,Philip Seymour Hoffman,tt0383028,"""I will be dying and so will you, and so will everyone here."" — Caden Cotard",
Mature,Self-Observation,10,8½ / Otto e mezzo,1963,Federico Fellini,Guido Anselmi,Marcello Mastroianni,tt0056801,"""Accept me as I am — only thus can I discover myself."" — Guido (closing voiceover, paraphrase of the line as commonly translated)",
Mature,Self-Observation,11,A Beautiful Mind,2001,Ron Howard,John Nash,Russell Crowe,tt0268978,"""She never grows up… Marcee can't be real. She never grows up."" — John Nash (the moment of recognition that anchors his self-observation strategy)",
Mature,Self-Observation,12,Eat Drink Man Woman / Yin shi nan nu,1994,Ang Lee,,,tt0111797,"""We communicate by eating."" — Jia-Chien (paraphrase of theme line)",
Mature,Self-Observation,13,Birdman or (The Unexpected Virtue of Ignorance),2014,Alejandro G. Iñárritu,Riggan Thomson,Michael Keaton,tt2562232,"""You confuse love for admiration."" — Sam Thomson (his daughter, articulating what Riggan can finally see in himself)",
Mature,Self-Observation,14,Manchester by the Sea,2016,Kenneth Lonergan,Lee Chandler,Casey Affleck,tt4034228,"""I can't beat it. I can't beat it. I'm sorry."" — Lee Chandler",
Mature,Self-Observation,K1,Peppermint Candy / 박하사탕,1999,Lee Chang-dong,Kim Yong-ho / 김영호,Sol Kyung-gu / 설경구,tt0247613,"""나 다시 돌아갈래!"" / ""I want to go back!"" — Kim Yong-ho, on the railway bridge",Korean
Mature,Self-Observation,K2,House of Hummingbird / 벌새,2018,Kim Bo-ra,Eun-hee / 은희 (Park Ji-hu / 박지후); 한문 teacher Kim Young-ji / 김영지,Kim Sae-byeok / 김새벽,tt8951086,"""은희야, 힘들고 우울할 땐, 손가락을 봐. 그리고 한 손가락, 한 손가락, 움직여. 그럼 참 신비롭게 느껴진다."" / ""Eun-hee, when you feel hopeless and depressed — look at your fingers. Move them, one by one. Then you'll feel something mysterious."" — Young-ji 선생님, in her final letter",Korean
Mature,Self-Observation,K3,Moss / 이끼,2010,Kang Woo-suk,Yoo Hae-guk / 유해국 (Park Hae-il / 박해일); Cheon Yong-deok 이장,Jung Jae-young / 정재영,tt1694019,"""니는 신이 될라 캤나? 내는 인간이 될라 캤다."" / ""Did you want to become a god? I just wanted to become human."" — Cheon Yong-deok 이장 to Yoo Mok-hyung (and by extension to Hae-guk)",Korean
Mature,Sublimation,1,Billy Elliot,2000,Stephen Daldry,Billy Elliot,Jamie Bell,tt0249462,"""I don't want a childhood. I want to be a ballet dancer."" — Billy Elliot",
Mature,Sublimation,2,Whiplash,2014,Damien Chazelle,Andrew Neiman,Miles Teller,tt2582802,"""I'd rather die drunk, broke at 34 and have people at a dinner table talk about me than live to be rich and sober at 90."" — Andrew Neiman",
Mature,Sublimation,3,Raging Bull,1980,Martin Scorsese,Jake LaMotta,Robert De Niro,tt0081398,"""You never got me down, Ray. You never got me down."" — Jake LaMotta",
Mature,Sublimation,4,Black Swan,2010,Darren Aronofsky,Nina Sayers,Natalie Portman,tt0947798,"""I just want to be perfect."" — Nina Sayers",
Mature,Sublimation,5,Shine,1996,Scott Hicks,David Helfgott,Geoffrey Rush; Noah Taylor as young David,tt0117631,"""It's a tragic life, David. Tragic. It's only music that will keep us together."" — Peter Helfgott (the father whose threat David sublimates into the music itself)",
Mature,Sublimation,6,The Pianist,2002,Roman Polanski,Władysław Szpilman,Adrien Brody,tt0253474,"""What are you?"" — Captain Hosenfeld. ""I am... I was... a pianist."" — Szpilman",
Mature,Sublimation,7,Amadeus,1984,Miloš Forman,Antonio Salieri (F. Murray Abraham); Wolfgang Amadeus Mozart,Tom Hulce,tt0086879,"""Forgive me, Majesty. I am a vulgar man! But I assure you, my music is not."" — Mozart",
Mature,Sublimation,8,Cinema Paradiso / Nuovo Cinema Paradiso,1988,Giuseppe Tornatore,"Salvatore ""Totò"" Di Vita (Salvatore Cascio young, Marco Leonardi teen, Jacques Perrin adult); Alfredo",Philippe Noiret,tt0095765,"""Whatever you end up doing, love it. The way you loved the projection booth when you were a little squirt."" — Alfredo",
Mature,Sublimation,9,The Red Shoes,1948,Michael Powell & Emeric Pressburger,"Victoria ""Vicky"" Page",Moira Shearer,tt0040725,"""Why do you want to dance?"" — Lermontov. ""Why do you want to live?"" — Vicky Page",
Mature,Sublimation,10,Frida,2002,Julie Taymor,Frida Kahlo,Salma Hayek,tt0120679,"""I paint myself because I am so often alone and because I am the subject I know best."" — Frida Kahlo (text from the film, drawn from Kahlo's own writings)",
Mature,Sublimation,11,Mr. Holland's Opus,1995,Stephen Herek,Glenn Holland,Richard Dreyfuss,tt0113862,"""We are your symphony, Mr. Holland."" — Gertrude Lang (the former student turned governor)",
Mature,Sublimation,12,Ratatouille,2007,Brad Bird,Remy,Patton Oswalt,tt0382932,"""Anyone can cook!"" — Auguste Gusteau (Remy's idol, articulating the principle Remy embodies)",
Mature,Sublimation,13,Pina,2011,Wim Wenders,,,tt1502407,"""Dance, dance, otherwise we are lost."" — Pina Bausch",
Mature,Sublimation,14,Whale Rider,2002,Niki Caro [also relevant for self-assertion],Pai,Keisha Castle-Hughes,tt0298228,"""I'm not a prophet, but I know that our people will keep going forward, all together, with all of our strength."" — Pai",
Mature,Sublimation,K1,"Spring, Summer, Fall, Winter… and Spring / 봄 여름 가을 겨울 그리고 봄",2003,Kim Ki-duk,"The young monk in adulthood / 청년 스님 (Kim Young-min, then Kim Ki-duk himself in winter); the old master / 노스님",Oh Yeong-su / 오영수,tt0374546,"""분노는 분노로 사라지지 않는다. 너는 그 분노를 새겨야 한다."" / ""Anger is not extinguished by anger. You must carve that anger out."" — the old master, instructing the disciple to chisel the Heart Sutra into the temple deck (paraphrase / 의역; close to the spoken instruction)",Korean
Mature,Sublimation,K2,Poetry / 시,2010,Lee Chang-dong,Yang Mi-ja / 양미자,Yoon Jeong-hee / 윤정희,tt1287878,"""그 곳은 어떤가요. 얼마나 적막한가요. … 검은 강물을 건너기 전에 내 영혼의 마지막 숨을 다해 나는 기도합니다."" / ""How is it where you are? How quiet is it there? … Before crossing the black river, with the last breath of my soul, I pray."" — from ""아네스의 노래,"" read by Mi-ja in voice-over (and then by the dead girl's voice)",Korean
Mature,Sublimation,K3,Radio Star / 라디오 스타,2006,Lee Joon-ik,Choi Gon / 최곤 (Park Joong-hoon / 박중훈); manager Park Min-su / 박민수,Ahn Sung-ki / 안성기,tt0891577,"""별은 말이지, 혼자 빛나는 별은 없어. 다 빛을 받아서 빛나는 거야."" / ""Stars — there's no such thing as a star that shines alone. Every star shines with light reflected from another."" — Park Min-su, to Choi Gon",Korean
Mature,Suppression,1,Casablanca,1942,Michael Curtiz,Rick Blaine,Humphrey Bogart,tt0034583,"""Ilsa, I'm no good at being noble, but it doesn't take much to see that the problems of three little people don't amount to a hill of beans in this crazy world. Someday you'll understand that. … Here's looking at you, kid."" — Rick Blaine",
Mature,Suppression,2,Brief Encounter,1945,David Lean,Laura Jesson,Celia Johnson,tt0037558,"""This can't last. This misery can't last. I must remember that and try to control myself. Nothing lasts really. Neither happiness nor despair. Not even life lasts very long."" — Laura Jesson (interior monologue)",
Mature,Suppression,3,The Remains of the Day,1993,James Ivory,James Stevens,Anthony Hopkins,tt0107943,"""A great butler must be possessed of dignity… in keeping with his position."" — Stevens (to his father)",
Mature,Suppression,4,In the Mood for Love / 花樣年華,2000,Wong Kar-wai,Chow Mo-wan (Tony Leung) and Su Li-zhen / Mrs. Chan,Maggie Cheung,tt0118694,"""I thought we wouldn't be like them. But I was wrong."" — Chow Mo-wan",
Mature,Suppression,5,The Age of Innocence,1993,Martin Scorsese,Newland Archer,Daniel Day-Lewis,tt0106226,"""It's more real to me here than if I went up."" — Newland Archer (paraphrase — closing voice-over of the film)",
Mature,Suppression,6,Tokyo Story / 東京物語,1953,Yasujirō Ozu,Shukichi Hirayama,Chishū Ryū,tt0046438,"""Children don't live up to their parents' expectations. Let's just be happy that they're better than most."" — Shukichi Hirayama",
Mature,Suppression,7,The Hours,2002,Stephen Daldry,Laura Brown,Julianne Moore,tt0274558,"""I chose life."" — Laura Brown",
Mature,Suppression,8,A Single Man,2009,Tom Ford,George Falconer,Colin Firth,tt1315981,"""It takes time in the morning for me to become George, time to adjust to what is expected of George and how he is to behave. By the time I have dressed and put the final layer of polish on the now slightly stiff but quite perfect George I know fully what part I'm supposed to play."" — George Falconer (voice-over)",
Mature,Suppression,9,Roman Holiday,1953,William Wyler,Princess Ann,Audrey Hepburn,tt0046250,"""I have every faith in it… as I have faith in relations between people."" — Princess Ann (press-conference reply, when asked which European city she enjoyed most)",
Mature,Suppression,10,Out of Africa,1985,Sydney Pollack,Karen Blixen,Meryl Streep,tt0089755,"""I had a farm in Africa, at the foot of the Ngong Hills."" — Karen Blixen (opening/closing narration)",
Mature,Suppression,11,Phantom Thread,2017,Paul Thomas Anderson,Reynolds Woodcock,Daniel Day-Lewis,tt5776858,"""I cannot begin my day with a confrontation, please. I'm delivering the dress today, and I can't take up space with confrontation. I simply don't have time for confrontations."" — Reynolds Woodcock",
Mature,Suppression,12,The Painted Veil,2006,John Curran,Walter Fane,Edward Norton,tt0446755,"""I had no objections to your having a love affair. … I despised myself for loving you."" — Walter Fane (paraphrase from Maugham source / film dialogue)",
Mature,Suppression,13,Up in the Air,2009,Jason Reitman,Ryan Bingham,George Clooney,tt1193138,"""Make no mistake — your relationships are the heaviest components in your life. Do you feel the straps cutting into your shoulders? … You don't need to carry all that weight. Why don't you set that bag down?"" — Ryan Bingham",
Mature,Suppression,14,Eternal Sunshine of the Spotless Mind,2004,Michel Gondry,Joel Barish,Jim Carrey,tt0338013,"""OK."" — Joel Barish (and Clementine, in answer to whether they can knowingly enter a relationship that may end the same way)",
Mature,Suppression,K1,Christmas in August / 8월의 크리스마스,1998,Hur Jin-ho,Jung-won / 정원 (Han Suk-kyu / 한석규); Da-rim / 다림,Shim Eun-ha / 심은하,tt0140825,"""내 기억 속에 무수한 사진들처럼 사랑도 언젠가는 추억으로 그친다는 걸 난 알고 있었습니다. 하지만 당신만은 추억이 되질 않았습니다. 사랑을 간직한 채 떠날 수 있게 해준 당신께 고맙단 말을 남깁니다."" / ""Like the countless photographs in my memory, I always knew love too eventually ends as memory. But you alone never became a memory. To you, who let me leave still holding love, I leave a word of thanks."" — Jung-won, in his unsent letter",Korean
Mature,Suppression,K2,The Classic / 클래식,2003,Kwak Jae-young,"Joo-hee / 주희 (Son Ye-jin / 손예진, in the 1968 timeline); Jun-ha / 준하 (Jo Seung-woo / 조승우); Tae-su / 태수",Lee Ki-woo / 이기우,tt0348568,"""나 지금 어때 보여? … 나 지금 울고 있어, 눈물 안 보여? 왜 숨겼어, 앞을 못 본다는 거…"" / ""How do I look right now? … I'm crying — can't you see my tears? Why did you hide it from me — that you can't see…"" — Joo-hee at the train station, then again at the reunion with the now-blind Jun-ha",Korean
Mature,Suppression,K3,One Fine Spring Day / 봄날은 간다,2001,Hur Jin-ho,Sang-woo / 상우 (Yoo Ji-tae / 유지태); Eun-su / 은수,Lee Young-ae / 이영애,tt0295192,"""어떻게 사랑이 변하니?"" / ""How can love change?"" — Sang-woo to Eun-su (and the closing scene's wordless turn-away)",Korean
Neurotic,Displacement,1,Falling Down,1993,Joel Schumacher,"William ""D-Fens"" Foster",Michael Douglas,tt0106856,"""I'm the bad guy? How'd that happen? I did everything they told me to. Did you know I build missiles?"" — Bill Foster",
Neurotic,Displacement,2,Raging Bull,1980,Martin Scorsese,Jake LaMotta,Robert De Niro,tt0081398,"""Did you fuck my wife? … How could you ask me?"" — Jake LaMotta / Joey LaMotta",
Neurotic,Displacement,3,Whiplash,2014,Damien Chazelle,Andrew Neiman,Miles Teller,tt2582802,"""There are no two words in the English language more harmful than 'good job.'"" — Terence Fletcher",
